FECHA,HORA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-02,13:00,NO2,0.01972,0.01345,0.00562,0.01497,0.0118,0.01295,0.01273,0.01602,0.0114,0.01088
2016-01-02,13:00,SO2,0.00224,0.00571,,0.00138,0.00201,,0.00241,0.00224,0.0026,0.001
2016-01-02,14:00,O3,0.04668,0.06462,0.04688,0.02665,0.03135,0.04517,0.03942,0.03995,0.03913,0.03653
2016-01-02,14:00,PM10,38.78,41.82,,68.34,29.87,40.74,46.72,29.82,30.84,148.53
2016-01-02,14:00,CO,0.563,0.771,0.522,1.042,1.006,0.268,0.77,0.491,0.811,0.766
2016-01-02,14:00,NO2,0.01757,0.01647,0.00822,0.01497,0.0219,0.00822,0.0109,0.01503,0.0178,0.01608
2016-01-02,14:00,SO2,0.00167,0.00538,,0.00126,0.00223,,0.00239,0.00208,0.00232,9e-05
2016-01-02,15:00,O3,0.03933,0.04578,0.03723,0.02165,0.02448,0.03887,0.02872,0.03355,0.03432,0.0283
2016-01-02,15:00,PM10,29.89,45.41,,51.01,32.21,27.41,36.65,19.63,42.66,246.64
2016-01-02,15:00,CO,0.453,0.564,0.49,1.205,0.952,0.232,0.5,0.416,0.99,0.694
2016-01-02,15:00,NO2,0.01128,0.01008,0.00662,0.01643,0.01532,0.00737,0.009,0.01243,0.02842,0.01268
2016-01-02,15:00,SO2,0.00147,0.00541,,0.00132,0.00207,,0.00238,0.00188,0.00256,9e-05
2016-01-02,16:00,O3,0.03557,0.03668,0.0351,0.02135,0.02128,0.0367,0.024,0.03252,0.02882,0.02518
2016-01-02,16:00,PM10,30.57,29.98,,66.5,22.02,23.07,29.53,17.42,34.6,219.8
2016-01-02,16:00,CO,0.727,0.578,0.466,1.026,0.755,0.201,0.649,0.385,0.661,0.568
2016-01-02,16:00,NO2,0.01138,0.00978,0.00665,0.01528,0.01098,0.00583,0.0099,0.01125,0.0132,0.01022
2016-01-02,16:00,SO2,0.00152,0.00519,,0.00113,0.00175,,0.0024,0.00197,0.00243,8e-05
2016-01-02,17:00,O3,0.03095,0.03217,0.02923,0.01405,0.01837,0.03337,0.0202,0.02928,0.02373,0.02238
2016-01-02,17:00,PM10,26.81,24.3,,67.82,20.1,21.8,25.95,21.27,30.76,143.19
2016-01-02,17:00,CO,0.673,0.604,0.437,1.271,0.712,0.203,0.757,0.473,0.676,0.6
2016-01-02,17:00,NO2,0.0146,0.01017,0.00697,0.01638,0.01357,0.00768,0.01288,0.01437,0.01533,0.0124
2016-01-02,17:00,SO2,0.00153,0.00493,,0.00138,0.00166,,0.00239,0.00169,0.00203,0.00049
